I,0.220000,0.165000,0.055000,0.054500,0.021500,0.012000,0.020000,5.000000
M,0.700000,0.550000,0.175000,1.440500,0.656500,0.298500,0.375000,12.000000
M,0.660000,0.535000,0.200000,1.791000,0.733000,0.318000,0.540000,15.000000
F,0.630000,0.485000,0.170000,1.320500,0.594500,0.345000,0.345000,9.000000
M,0.645000,0.530000,0.195000,1.390000,0.646500,0.294500,0.373500,10.000000
M,0.695000,0.530000,0.210000,1.510000,0.664000,0.409500,0.385000,10.000000
F,0.385000,0.305000,0.125000,0.314000,0.146000,0.055500,0.080000,10.000000
I,0.590000,0.465000,0.195000,1.088500,0.368500,0.187000,0.375000,17.000000
M,0.575000,0.445000,0.140000,0.737000,0.325000,0.140500,0.237000,10.000000
I,0.255000,0.190000,0.070000,0.081500,0.028000,0.016000,0.031000,5.000000
F,0.425000,0.335000,0.095000,0.322000,0.120500,0.061000,0.125000,10.000000
I,0.410000,0.325000,0.100000,0.394000,0.208000,0.065500,0.106000,6.000000
I,0.630000,0.465000,0.150000,1.031500,0.426500,0.240000,0.325000,11.000000
F,0.550000,0.415000,0.135000,0.814500,0.427000,0.185500,0.175000,8.000000
I,0.285000,0.210000,0.055000,0.101000,0.041500,0.017000,0.033500,5.000000
I,0.500000,0.370000,0.115000,0.574500,0.306000,0.112000,0.141000,7.000000
I,0.295000,0.220000,0.070000,0.126000,0.051500,0.027500,0.035000,6.000000
I,0.430000,0.325000,0.090000,0.425000,0.217000,0.087000,0.095000,7.000000
I,0.325000,0.270000,0.100000,0.185000,0.080000,0.043500,0.065000,6.000000
I,0.405000,0.300000,0.090000,0.288500,0.138000,0.063500,0.076500,6.000000
I,0.290000,0.215000,0.060000,0.111500,0.053000,0.018500,0.032000,5.000000
F,0.370000,0.290000,0.115000,0.250000,0.111000,0.057000,0.075000,9.000000
M,0.545000,0.430000,0.155000,0.803500,0.409000,0.144000,0.228000,7.000000
M,0.520000,0.385000,0.140000,0.659500,0.248500,0.203500,0.160000,9.000000
M,0.570000,0.430000,0.120000,1.061500,0.348000,0.167000,0.310000,15.000000
I,0.330000,0.230000,0.085000,0.169500,0.079000,0.026000,0.050500,6.000000
F,0.665000,0.515000,0.180000,1.389000,0.594500,0.324000,0.395000,10.000000
M,0.675000,0.525000,0.185000,1.587000,0.693500,0.336000,0.395000,13.000000
I,0.335000,0.250000,0.080000,0.183000,0.073500,0.040000,0.057500,6.000000
M,0.655000,0.520000,0.165000,1.409500,0.586000,0.291000,0.405000,9.000000
F,0.620000,0.510000,0.205000,1.347500,0.477500,0.256500,0.480000,14.000000
M,0.680000,0.545000,0.185000,1.672000,0.707500,0.364000,0.480000,11.000000
M,0.605000,0.475000,0.145000,0.884000,0.383500,0.190500,0.270000,8.000000
M,0.565000,0.455000,0.170000,0.906500,0.342000,0.156000,0.320000,18.000000
M,0.600000,0.475000,0.190000,1.087500,0.403000,0.265500,0.325000,14.000000
M,0.645000,0.495000,0.150000,1.209500,0.603000,0.222500,0.339000,9.000000
F,0.490000,0.375000,0.135000,0.612500,0.255500,0.102000,0.220000,11.000000
M,0.590000,0.475000,0.140000,0.977000,0.462500,0.202500,0.275000,10.000000
I,0.395000,0.295000,0.095000,0.272500,0.115000,0.062500,0.085000,8.000000
I,0.570000,0.435000,0.170000,0.848000,0.400000,0.166000,0.250000,9.000000
M,0.440000,0.320000,0.120000,0.456500,0.243500,0.092000,0.102500,8.000000
M,0.715000,0.525000,0.200000,1.890000,0.950000,0.436000,0.430500,10.000000
M,0.575000,0.435000,0.135000,0.992000,0.432000,0.222500,0.239000,10.000000
I,0.555000,0.450000,0.175000,0.738000,0.304000,0.175500,0.220000,9.000000
I,0.350000,0.265000,0.110000,0.209000,0.066000,0.059000,0.075000,9.000000
F,0.600000,0.475000,0.180000,1.162000,0.511000,0.267500,0.320000,18.000000
F,0.730000,0.575000,0.185000,1.879500,0.931000,0.380000,0.482500,12.000000
